TOR;Toronto Raptors;Toronto;Dwane Casey;Air Canada Centre;Leste;0;0;0
BOS;Boston Celtics;Boston;Brad Stevens;TD Garden;Leste;0;0;0
PHI;Philadelphia 76ers;Philadelphia;Brett Brown;Wells Fargo Center;Leste;0;0;0
CLE;Cleveland Cavaliers;Cleveland;Tyronn Lue;Quicken Loans Arena;Leste;0;0;0
IND;Indiana Pacers;Indianapolis;Nate McMillan;Bankers Life Fieldhouse;Leste;0;0;0
MIA;Miami Heat;Miami;Erik Spoelstra;AmericanAirlines Arena;Leste;0;0;0
MIL;Milwaukee Bucks;Milwaukee ;Jason Kidd;BMO Harris Bradley Center;Leste;0;0;0
WAS;Washington Wizards;Washington;Scott Brooks;Capital One Arena;Leste;0;0;0
DET;Detroid Pistons;Detroid;Stan Van Gundy;Little Caesars Arena;Leste;0;0;0
CHA;Charlotte Hornets;Charlotte ;Steve Clifford;Spectrum Center;Leste;0;0;0
NYK;New York Knicks;Manhattan;Jeff Hornacek;Madison Square Garden;Leste;0;0;0
BKN;Brooklyn Nets;Brooklyn;Kenny Atkinson;Barclays Center;Leste;0;0;0
CHI;Chicago Bulls;Chicago;Fred Hoiberg;United Center;Leste;0;0;0
ORL;Orlando Magic;Orlando;Frank Vogel;Amway Center;Leste;0;0;0
ATL;Atlanta Hawks;Atlanta ;Mike Budenholzer;Philips Arena;Leste;0;0;0
HOU;Houston Rockets;Houston;Mike Dantoni;Toyota Center;Oeste;0;0;0
GSW;Golden State Warriors;Oakland;Steve Kerr;Oracle Arena;Oeste;0;0;0
POR;Portland Trail Blazers;Portland;Terry Stotts;Moda Center;Oeste;0;0;0
OKC;Oklahoma City Thunder;Oklahoma City;Billy Donovan;Chesapeake Energy Arena;Oeste;0;0;0
UTA;Utah Jazz;Salt Lake City;Quin Snyder;Vivint Smart Home Arena;Oeste;0;0;0
NOP;New Orleans Pelicans;New Orleans;Alvin Gentry ;Smoothie King Center;Oeste;0;0;0
SAS;San Antonio Spurs;San Antonio;Gregg Popovich;AT&T Center;Oeste;0;0;0
MIN;Minnesota Timberwolves;Minneapolis;Tom Thibodeau;Target Center;Oeste;0;0;0
DEN;Denver Nuggets;Denver;Mike Malone;Pepsi Center;Oeste;0;0;0
LAC;Los Angeles Clippers;Los Angeles;Doc Rivers;STAPLES Center;Oeste;0;0;0
LAL;Los Angeles Lakers;Los Angeles;Luke Walton;STAPLES Center;Oeste;0;0;0
SAC;Sacramento Kings;Sacramento;Dave Joerger;Golden 1 Arena;Oeste;0;0;0
DAL;Dallas Mavericks;Dallas;Rick Carlisle;American Airlines Center;Oeste;0;0;0
MEM;Memphis Grizzlies;Memphis;JB Bickerstaff;FedEx Forum;Oeste;0;0;0
PHX;Phoenix Suns;Phoenix;Jay Triano;Talking Stick Resort Arena;Oeste;0;0;0
